Date,Open,High,Low,Close,Adj Close,Volume
1996-02-08,2.65,2.8,2.55,2.575,-0.719624,42564000.0
1996-02-09,2.575,2.6,2.49,2.575,-0.719624,4558000.0
1996-02-12,2.575,2.675,2.55,2.575,-0.719624,6244000.0
1996-02-13,2.6,2.6,2.55,2.575,-0.719624,1918000.0
1996-02-14,2.575,2.575,2.5,2.55,-0.712638,2612000.0
1996-02-15,2.55,2.8,2.55,2.8,-0.782504,43774000.0
1996-02-16,2.8,2.9,2.775,2.8,-0.782504,34328000.0
1996-02-19,2.8,2.8,2.65,2.675,-0.747571,2776000.0
1996-02-20,2.7,2.925,2.7,2.875,-0.803464,23074000.0
1996-02-21,2.85,2.95,2.8,2.825,-0.789491,17958000.0
1996-02-22,2.85,2.875,2.725,2.725,-0.761544,9638000.0
1996-02-23,2.725,2.75,2.65,2.725,-0.761544,4918000.0
1996-02-26,2.7,2.825,2.675,2.675,-0.747571,5650000.0
1996-02-27,2.675,2.725,2.675,2.725,-0.761544,1908000.0
1996-02-28,2.725,2.775,2.675,2.7,-0.754558,3774000.0
1996-02-29,,,,,,
1996-03-01,,,,,,
1996-03-04,2.7,2.725,2.6,2.675,-0.747571,3100000.0
1996-03-05,2.675,2.675,2.575,2.6,-0.726611,1558000.0
1996-03-06,2.575,2.625,2.55,2.625,-0.733598,1394000.0
1996-03-07,2.625,2.625,2.55,2.575,-0.719624,1322000.0
1996-03-08,2.55,2.575,2.525,2.575,-0.719624,1224000.0
1996-03-11,2.4,2.49,2.35,2.35,-0.656745,2926000.0
1996-03-12,2.425,2.425,2.365,2.39,-0.667923,2662000.0
1996-03-13,2.375,2.375,2.325,2.35,-0.656745,2708000.0
1996-03-14,2.325,2.425,2.315,2.425,-0.677704,1184000.0
1996-03-15,2.425,2.465,2.39,2.45,-0.684691,992000.0
1996-03-18,2.45,2.465,2.4,2.465,-0.688883,354000.0
1996-03-19,2.465,2.49,2.44,2.475,-0.691678,716000.0
1996-03-20,2.45,2.45,2.4,2.45,-0.684691,670000.0
1996-03-21,2.415,2.45,2.4,2.44,-0.681896,136000.0
1996-03-22,2.45,2.575,2.45,2.5,-0.698664,1030000.0
1996-03-25,2.5,2.5,2.465,2.465,-0.688883,324000.0
1996-03-26,2.45,2.45,2.415,2.425,-0.677704,242000.0
1996-03-27,2.4,2.45,2.39,2.45,-0.684691,408000.0
1996-03-28,2.4,2.45,2.4,2.425,-0.677704,572000.0
1996-03-29,2.39,2.425,2.39,2.425,-0.677704,94000.0
1996-04-01,2.425,2.45,2.4,2.45,-0.684691,152000.0
1996-04-02,2.45,2.5,2.45,2.5,-0.698664,432000.0
1996-04-03,2.5,2.55,2.465,2.5,-0.698664,800000.0
1996-04-04,2.4,2.425,2.365,2.425,-6.777042,304000.0
1996-04-05,2.365,2.375,2.315,2.375,-6.63731,382000.0
1996-04-08,,,,,,
1996-04-09,2.4,2.4,2.3,2.365,-6.609365,710000.0
1996-04-10,2.35,2.365,2.3,2.365,-6.609365,412000.0
1996-04-11,2.35,2.365,2.275,2.365,-6.609365,1878000.0
1996-04-12,,,,,,
1996-04-15,,,,,,
1996-04-16,2.315,2.35,2.29,2.35,-6.567444,278000.0
1996-04-17,2.34,2.425,2.34,2.425,-6.777042,1538000.0
1996-04-18,2.4,2.44,2.4,2.44,-6.818964,1372000.0
1996-04-19,2.425,2.45,2.415,2.415,-6.749097,408000.0
1996-04-22,2.375,2.4,2.325,2.4,-6.707177,1628000.0
1996-04-23,2.35,2.39,2.35,2.39,-6.67923,132000.0
1996-04-24,2.35,2.39,2.325,2.365,-6.609365,214000.0
1996-04-25,2.35,2.35,2.29,2.34,-6.539497,324000.0
1996-04-26,2.3,2.315,2.3,2.315,-6.469631,56000.0
1996-04-29,2.35,2.45,2.315,2.45,-6.84691,1884000.0
1996-04-30,2.415,2.425,2.39,2.4,-6.707177,264000.0
1996-05-01,,,,,,
1996-05-02,2.4,2.45,2.4,2.45,-6.84691,1402000.0
1996-05-03,2.44,2.475,2.4,2.45,-6.84691,888000.0
1996-05-06,,,,,,
1996-05-07,2.45,2.45,2.44,2.45,-6.84691,90000.0
1996-05-08,2.45,2.525,2.45,2.525,-7.056509,1868000.0
1996-05-09,2.525,2.55,2.475,2.5,-6.986643,774000.0
1996-05-10,2.49,2.5,2.475,2.5,-6.986643,478000.0
1996-05-13,2.475,2.49,2.465,2.49,-6.958696,320000.0
1996-05-14,2.475,2.5,2.465,2.49,-6.958696,1434000.0
1996-05-15,2.475,2.49,2.465,2.49,-6.958696,1076000.0
1996-05-16,2.475,2.475,2.365,2.39,-6.67923,1140000.0
1996-05-17,2.39,2.45,2.39,2.45,-6.84691,1490000.0
1996-05-20,2.415,2.44,2.415,2.44,-6.818964,172000.0
