Date,Open,High,Low,Close,Adj Close,Volume
2013-10-03,4.46,5.65,4.42,4.9,3.69577,585068400.0
2013-10-04,4.9,4.94,3.5,3.5,2.639836,224851500.0
2013-10-07,3.6,3.76,3.1,3.26,2.458818,77686000.0
2013-10-08,3.3,3.54,3.22,3.36,2.534242,104827100.0
2013-10-09,3.4,3.4,3.24,3.28,2.473903,19958800.0
2013-10-10,3.28,3.38,3.2,3.26,2.458818,25916400.0
2013-10-11,3.28,3.32,3.2,3.2,2.413564,9663000.0
2013-10-14,3.22,3.34,3.18,3.26,2.458818,18640400.0
2013-10-15,3.3,3.5,3.28,3.38,2.549327,31840300.0
2013-10-16,3.38,3.4,3.28,3.3,2.488988,5574600.0
2013-10-17,3.32,3.82,3.32,3.64,2.745429,64013900.0
2013-10-18,3.72,3.96,3.68,3.76,2.835938,50919700.0
2013-10-21,3.76,3.84,3.56,3.56,2.68509,16411100.0
2013-10-22,3.62,3.64,3.5,3.58,2.700175,6921800.0
2013-10-24,3.58,3.86,3.58,3.74,2.820853,23155000.0
2013-10-25,3.8,3.82,3.68,3.68,2.775599,11469600.0
2013-10-28,3.64,3.64,3.52,3.52,2.706401,4363200.0
2013-10-29,3.52,3.58,3.5,3.5,2.691024,1200100.0
2013-10-30,3.54,3.54,3.32,3.32,2.552628,2436400.0
2013-10-31,3.26,3.36,3.26,3.3,2.537251,1615100.0
2013-11-01,3.3,3.32,3.2,3.2,2.460364,2031900.0
2013-11-04,3.12,3.18,3.08,3.08,2.3681,2293700.0
2013-11-05,3.18,3.24,3.12,3.2,2.460364,2442500.0
2013-11-06,3.22,3.4,3.18,3.3,2.537251,4316600.0
2013-11-07,3.3,3.46,3.3,3.36,2.583383,6550800.0
2013-11-08,3.38,3.56,3.36,3.36,2.583383,29335500.0
2013-11-11,3.3,3.34,3.22,3.22,2.475742,4743900.0
2013-11-12,3.3,3.32,3.24,3.24,2.491119,5571700.0
2013-11-13,3.24,3.42,3.24,3.38,2.59876,10015100.0
2013-11-14,3.38,3.46,3.32,3.32,2.552628,5322800.0
2013-11-15,3.34,3.38,3.3,3.3,2.537251,1450000.0
2013-11-18,3.34,3.34,3.26,3.26,2.506496,857500.0
2013-11-19,3.3,3.3,3.2,3.2,2.460364,1526800.0
2013-11-20,3.26,3.26,3.2,3.2,2.460364,1137900.0
2013-11-21,3.2,3.2,3.08,3.08,2.3681,1312200.0
2013-11-22,3.14,3.14,3.06,3.1,2.383478,438500.0
2013-11-25,3.04,3.12,3.04,3.04,2.337346,811300.0
2013-11-26,3.02,3.08,3.0,3.04,2.337346,342900.0
2013-11-27,3.04,3.14,3.04,3.12,2.398855,1612200.0
2013-11-28,3.16,3.16,3.06,3.06,2.352723,572900.0
2013-11-29,3.06,3.08,3.04,3.08,2.3681,349500.0
2013-12-02,3.04,3.08,3.04,3.06,2.352723,563900.0
2013-12-03,3.08,3.12,3.08,3.1,2.383478,581800.0
2013-12-04,3.1,3.1,3.08,3.08,2.3681,141900.0
2013-12-06,3.08,3.08,3.02,3.02,2.321969,420600.0
2013-12-09,3.08,3.08,3.02,3.02,2.321969,216800.0
2013-12-11,3.02,3.06,3.0,3.0,2.306592,463200.0
2013-12-12,3.08,3.16,3.02,3.04,2.337346,3535900.0
2013-12-13,3.06,3.18,3.04,3.08,2.3681,5426000.0
2013-12-16,3.08,3.08,3.0,3.0,2.306592,1163000.0
2013-12-17,3.04,3.08,3.0,3.0,2.306592,685400.0
2013-12-18,3.02,3.14,3.02,3.12,2.398855,4684800.0
2013-12-19,3.06,3.08,3.0,3.0,2.306592,2589200.0
2013-12-20,3.02,3.08,2.98,3.0,2.306592,1768600.0
2013-12-23,3.0,3.0,2.84,2.84,2.183573,724800.0
2013-12-24,2.92,2.92,2.84,2.86,2.198951,107300.0
2013-12-25,2.86,2.88,2.86,2.88,2.214328,149700.0
2013-12-26,2.82,2.9,2.7,2.7,2.075933,471800.0
2013-12-27,2.8,2.8,2.66,2.66,2.045178,432100.0
2014-01-02,2.66,2.66,2.4,2.42,1.86065,392400.0
2014-01-03,2.42,2.42,2.22,2.38,1.829896,156500.0
2014-01-06,2.3,2.36,2.3,2.32,1.783764,77300.0
2014-01-07,2.32,2.4,2.32,2.38,1.829896,53400.0
2014-01-08,2.38,2.42,2.38,2.38,1.829896,406500.0
2014-01-09,2.36,2.42,2.36,2.36,1.814519,137500.0
2014-01-10,2.34,2.4,2.34,2.36,1.814519,50300.0
2014-01-13,2.3,2.34,2.28,2.32,1.783764,218000.0
2014-01-14,2.32,2.42,2.32,2.42,1.86065,552100.0
2014-01-15,2.44,2.44,2.4,2.42,1.86065,285400.0
2014-01-16,2.42,2.48,2.4,2.44,1.876028,814000.0
2014-01-17,2.46,2.66,2.42,2.46,1.891405,738300.0
2014-01-20,2.44,2.44,2.4,2.42,1.86065,217100.0
2014-01-21,2.46,2.48,2.42,2.42,1.86065,659600.0
2014-01-22,2.4,2.46,2.4,2.44,1.876028,112000.0
2014-01-23,2.44,2.48,2.44,2.44,1.876028,64000.0
2014-01-24,2.46,2.52,2.44,2.46,1.891405,681700.0
2014-01-27,2.42,2.46,2.42,2.44,1.876028,54400.0
2014-01-28,2.42,2.42,2.36,2.36,1.814519,274800.0
2014-01-29,2.36,2.4,2.36,2.4,1.845274,66300.0
2014-01-30,2.38,2.4,2.36,2.38,1.829896,38300.0
2014-01-31,2.38,2.44,2.38,2.4,1.845274,80200.0
2014-02-03,2.44,2.44,2.4,2.4,1.845274,135100.0
2014-02-04,2.42,2.5,2.4,2.4,1.845274,448100.0
2014-02-05,2.44,2.46,2.4,2.42,1.86065,139700.0
2014-02-06,2.44,2.48,2.42,2.46,1.891405,249100.0
2014-02-07,2.42,2.58,2.42,2.5,1.92216,1358900.0
2014-02-10,2.52,2.52,2.46,2.46,1.891405,273300.0
2014-02-11,2.48,2.48,2.46,2.46,1.891405,149200.0
2014-02-12,2.46,2.5,2.46,2.46,1.891405,100800.0
2014-02-13,2.48,2.52,2.46,2.52,1.937537,167300.0
2014-02-17,2.52,2.6,2.5,2.5,1.92216,599400.0
2014-02-18,2.56,2.56,2.5,2.5,1.92216,202300.0
2014-02-19,2.5,2.54,2.48,2.52,1.937537,478100.0
2014-02-20,2.52,2.52,2.46,2.46,1.891405,317200.0
2014-02-21,2.5,2.54,2.46,2.46,1.891405,245700.0
2014-02-24,2.46,2.5,2.46,2.48,1.906783,61100.0
2014-02-25,2.46,2.5,2.46,2.46,1.891405,212400.0
2014-02-26,2.48,2.56,2.48,2.54,1.952914,541600.0
2014-02-27,2.52,2.58,2.52,2.56,1.968291,273400.0
2014-02-28,2.56,2.66,2.56,2.6,1.999046,1375000.0
2014-03-03,2.62,2.66,2.62,2.64,2.0298,613300.0
2014-03-04,2.66,2.86,2.64,2.78,2.137442,3857700.0
2014-03-05,2.8,2.8,2.76,2.76,2.122064,1032200.0
2014-03-06,2.88,2.98,2.84,2.9,2.229705,3073700.0
2014-03-07,2.94,2.94,2.78,2.8,2.152819,1391100.0
2014-03-10,2.76,2.76,2.6,2.64,2.104979,1549400.0
2014-03-11,2.72,2.72,2.66,2.66,2.120925,259200.0
2014-03-12,2.66,2.7,2.64,2.64,2.104979,123000.0
2014-03-13,2.68,2.68,2.64,2.64,2.104979,130600.0
2014-03-14,2.64,2.66,2.62,2.66,2.120925,129800.0
2014-03-17,2.62,2.7,2.62,2.7,2.152819,10200.0
2014-03-18,2.68,2.72,2.68,2.72,2.168766,82000.0
2014-03-19,2.7,2.7,2.64,2.68,2.136872,131100.0
2014-03-20,2.66,2.7,2.66,2.66,2.120925,12900.0
2014-03-21,2.66,2.66,2.6,2.64,2.104979,152300.0
2014-03-24,2.62,2.64,2.58,2.6,2.073084,66600.0
2014-03-25,2.58,2.6,2.56,2.56,2.041191,169800.0
2014-03-26,2.52,2.58,2.52,2.54,2.025244,131900.0
2014-03-27,2.54,2.56,2.52,2.52,2.009297,219100.0
2014-03-28,2.52,2.54,2.52,2.52,2.009297,32000.0
2014-03-31,2.62,2.62,2.52,2.52,2.009297,18200.0
2014-04-01,2.54,2.54,2.52,2.52,2.009297,121400.0
2014-04-02,2.52,2.58,2.52,2.54,2.025244,20000.0
2014-04-03,2.6,2.6,2.54,2.58,2.057138,146900.0
2014-04-04,2.56,2.58,2.54,2.54,2.025244,131700.0
2014-04-08,2.54,2.54,2.48,2.54,2.025244,290000.0
2014-04-09,2.54,2.54,2.5,2.52,2.009297,170700.0
2014-04-10,2.5,2.54,2.5,2.5,1.993351,316100.0
2014-04-11,2.52,2.7,2.5,2.54,2.025244,1049700.0
2014-04-16,2.54,2.6,2.54,2.56,2.041191,307500.0
2014-04-17,2.6,2.66,2.56,2.56,2.041191,1360800.0
2014-04-18,2.58,2.6,2.56,2.6,2.073084,698300.0
2014-04-21,2.58,2.62,2.56,2.56,2.041191,237000.0
2014-04-22,2.62,2.7,2.56,2.62,2.089032,2616400.0
2014-04-23,2.62,2.86,2.62,2.78,2.216606,7594700.0
2014-04-24,2.8,2.8,2.72,2.76,2.200659,1300700.0
2014-04-25,2.76,2.78,2.72,2.76,2.200659,765700.0
2014-04-28,2.8,2.8,2.76,2.76,2.200659,42000.0
2014-04-29,2.8,2.8,2.76,2.76,2.200659,2466200.0
2014-04-30,2.78,2.78,2.72,2.72,2.168766,173600.0
2014-05-02,2.72,2.86,2.72,2.84,2.264446,1519700.0
2014-05-06,2.84,2.96,2.84,2.9,2.312287,4527200.0
2014-05-07,2.9,2.9,2.86,2.86,2.280393,784400.0
2014-05-08,2.86,2.86,2.76,2.76,2.200659,530300.0
2014-05-09,2.76,2.8,2.7,2.74,2.184713,94000.0
2014-05-12,2.84,2.86,2.72,2.82,2.2485,81300.0
2014-05-14,2.82,2.88,2.8,2.86,2.280393,848100.0
2014-05-15,2.82,2.98,2.82,2.94,2.344181,4615900.0
2014-05-16,2.94,2.96,2.88,2.88,2.29634,1098800.0
2014-05-19,2.92,2.92,2.84,2.84,2.264446,764200.0
2014-05-20,2.78,2.8,2.72,2.74,2.184713,1602200.0
2014-05-21,2.74,2.8,2.72,2.8,2.232553,782000.0
2014-05-22,2.8,2.82,2.76,2.76,2.200659,420700.0
2014-05-23,2.68,2.84,2.68,2.8,2.232553,886600.0
2014-05-26,2.78,2.84,2.74,2.78,2.216606,1660500.0
2014-05-27,2.8,2.94,2.8,2.9,2.312287,4051100.0
2014-05-28,2.94,2.94,2.8,2.8,2.232553,1218200.0
2014-05-29,,,,,,
2014-05-30,,,,,,
2014-06-02,,,,,,
2014-06-03,,,,,,
2014-06-04,,,,,,
2014-06-05,,,,,,
2014-06-06,,,,,,
2014-06-09,,,,,,
2014-06-10,,,,,,
2014-06-11,,,,,,
2014-06-12,,,,,,
2014-06-13,,,,,,
2014-06-16,,,,,,
2014-06-17,,,,,,
2014-06-18,,,,,,
2014-06-19,3.06,3.12,3.06,3.06,2.439861,1587600.0
2014-06-20,,,,,,
2014-06-23,,,,,,
2014-06-24,,,,,,
2014-06-25,,,,,,
2014-06-26,,,,,,
2014-06-27,,,,,,
2014-06-30,,,,,,
2014-07-02,,,,,,
2014-07-03,,,,,,
2014-07-04,,,,,,
2014-07-07,,,,,,
2014-07-08,,,,,,
2014-07-09,,,,,,
2014-07-10,,,,,,
2014-07-14,,,,,,
2014-07-15,,,,,,
2014-07-16,,,,,,
2014-07-17,,,,,,
2014-07-18,,,,,,
2014-07-21,,,,,,
2014-07-22,,,,,,
2014-07-23,,,,,,
2014-07-24,,,,,,
2014-07-25,,,,,,
2014-07-28,,,,,,
2014-07-29,,,,,,
2014-07-30,,,,,,
2014-07-31,,,,,,
2014-08-01,,,,,,
2014-08-04,,,,,,
2014-08-05,,,,,,
2014-08-06,,,,,,
2014-08-07,,,,,,
2014-08-08,,,,,,
2014-08-13,,,,,,
2014-08-14,,,,,,
2014-08-15,2.84,2.88,2.84,2.86,2.280393,22400.0
2014-08-18,2.9,2.9,2.86,2.88,2.29634,2446600.0
2014-08-19,,,,,,
2014-08-20,,,,,,
2014-08-21,,,,,,
2014-08-22,,,,,,
2014-08-25,,,,,,
2014-08-26,,,,,,
2014-08-27,,,,,,
2014-08-28,,,,,,
2014-08-29,,,,,,
2014-09-01,,,,,,
2014-09-02,,,,,,
2014-09-03,,,,,,
2014-09-04,,,,,,
2014-09-05,,,,,,
2014-09-08,,,,,,
2014-09-09,,,,,,
2014-09-10,,,,,,
2014-09-11,,,,,,
2014-09-12,,,,,,
2014-09-15,,,,,,
2014-09-16,,,,,,
2014-09-17,,,,,,
2014-09-18,,,,,,
2014-09-19,,,,,,
2014-09-22,,,,,,
2014-09-23,,,,,,
2014-09-24,,,,,,
2014-09-25,,,,,,
2014-09-26,,,,,,
2014-09-29,,,,,,
2014-09-30,,,,,,
2014-10-01,,,,,,
2014-10-02,,,,,,
2014-10-03,,,,,,
2014-10-06,,,,,,
2014-10-07,,,,,,
2014-10-08,,,,,,
2014-10-09,,,,,,
2014-10-10,,,,,,
2014-10-13,,,,,,
2014-10-14,,,,,,
2014-10-15,,,,,,
2014-10-16,,,,,,
2014-10-17,,,,,,
2014-10-20,,,,,,
2014-10-21,,,,,,
2014-10-22,,,,,,
2014-10-24,,,,,,
2014-10-27,,,,,,
2014-10-28,,,,,,
2014-10-29,3.12,3.14,3.06,3.08,2.455808,237600.0
2014-10-30,,,,,,
2014-10-31,,,,,,
2014-11-03,,,,,,
2014-11-04,,,,,,
2014-11-05,,,,,,
2014-11-06,,,,,,
2014-11-07,,,,,,
2014-11-10,,,,,,
2014-11-11,,,,,,
2014-11-12,,,,,,
2014-11-13,,,,,,
2014-11-14,,,,,,
2014-11-17,,,,,,
2014-11-18,,,,,,
2014-11-19,,,,,,
2014-11-20,,,,,,
2014-11-21,,,,,,
2014-11-24,,,,,,
2014-11-25,,,,,,
2014-11-26,,,,,,
2014-11-27,,,,,,
2014-11-28,,,,,,
2014-12-01,,,,,,
2014-12-02,,,,,,
2014-12-03,,,,,,
2014-12-04,,,,,,
2014-12-08,,,,,,
2014-12-09,,,,,,
2014-12-11,,,,,,
2014-12-12,,,,,,
2014-12-15,,,,,,
2014-12-16,,,,,,
2014-12-17,,,,,,
2014-12-18,,,,,,
2014-12-19,,,,,,
2014-12-22,,,,,,
2014-12-23,,,,,,
2014-12-24,2.66,2.66,2.56,2.56,2.041191,335300.0
2014-12-25,,,,,,
2014-12-26,,,,,,
2014-12-29,,,,,,
2014-12-30,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,,,,,,
2015-01-29,,,,,,
2015-01-30,,,,,,
2015-02-02,,,,,,
2015-02-03,,,,,,
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,2.9,3.06,2.88,3.0,2.39202,6358000.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,2.9,2.96,2.88,2.88,2.29634,1503500.0
2015-03-03,2.86,2.9,2.82,2.86,2.280393,2171300.0
2015-03-05,2.86,2.98,2.86,2.9,2.312287,2078200.0
2015-03-06,2.96,2.96,2.9,2.94,2.344181,564000.0
2015-03-09,2.96,2.98,2.9,2.9,2.312287,1760900.0
2015-03-10,2.86,2.92,2.8,2.84,2.336973,1023500.0
2015-03-11,2.86,2.86,2.68,2.76,2.271143,2847500.0
2015-03-12,2.74,2.78,2.72,2.78,2.287601,317600.0
2015-03-13,2.74,2.8,2.72,2.78,2.287601,153400.0
2015-03-16,2.78,2.8,2.72,2.76,2.271143,339800.0
2015-03-17,2.72,2.74,2.7,2.74,2.254685,368100.0
2015-03-18,2.74,2.76,2.7,2.72,2.238228,292200.0
2015-03-19,2.76,2.76,2.72,2.74,2.254685,63600.0
2015-03-20,2.74,2.74,2.72,2.74,2.254685,537500.0
2015-03-23,2.76,2.76,2.72,2.74,2.254685,269400.0
2015-03-24,2.74,2.76,2.7,2.72,2.238228,549500.0
2015-03-25,2.7,2.8,2.7,2.78,2.287601,985600.0
2015-03-26,2.78,2.78,2.72,2.74,2.254685,231500.0
2015-03-27,2.74,2.78,2.72,2.76,2.271143,223400.0
2015-03-30,2.74,2.78,2.72,2.76,2.271143,79600.0
2015-03-31,2.76,2.76,2.7,2.76,2.271143,343100.0
2015-04-01,2.76,2.78,2.74,2.78,2.287601,161900.0
2015-04-02,2.78,2.86,2.78,2.8,2.304058,1421300.0
2015-04-03,2.86,2.86,2.74,2.78,2.287601,774300.0
2015-04-07,2.78,2.8,2.78,2.8,2.304058,324600.0
2015-04-08,2.8,2.82,2.78,2.82,2.320516,290000.0
2015-04-09,2.82,2.82,2.7,2.7,2.22177,1720100.0
2015-04-10,2.74,2.76,2.72,2.76,2.271143,604800.0
2015-04-16,2.76,2.8,2.76,2.78,2.287601,376900.0
2015-04-17,2.8,2.82,2.78,2.82,2.320516,477300.0
2015-04-20,2.8,2.82,2.78,2.78,2.287601,203700.0
2015-04-21,2.78,2.84,2.78,2.82,2.320516,594400.0
2015-04-22,2.84,2.84,2.78,2.78,2.287601,279700.0
2015-04-23,2.82,2.86,2.78,2.78,2.287601,1712100.0
2015-04-24,2.86,2.88,2.82,2.88,2.369888,840700.0
2015-04-27,2.9,2.9,2.84,2.88,2.369888,620900.0
2015-04-28,2.86,2.9,2.78,2.8,2.304058,736300.0
2015-04-29,2.86,2.86,2.78,2.82,2.320516,143400.0
2015-04-30,2.8,2.84,2.78,2.84,2.336973,337300.0
2015-05-04,2.84,2.84,2.84,2.84,2.336973,0.0
2015-05-06,2.84,2.86,2.78,2.8,2.304058,257800.0
2015-05-07,2.8,2.84,2.78,2.8,2.304058,108600.0
2015-05-08,2.82,2.82,2.76,2.76,2.271143,162100.0
2015-05-11,2.7,2.8,2.7,2.7,2.22177,413900.0
2015-05-12,2.7,2.76,2.62,2.66,2.188855,1029000.0
2015-05-13,2.62,2.68,2.62,2.68,2.205313,104500.0
2015-05-14,2.62,2.68,2.62,2.68,2.205313,99300.0
2015-05-15,2.68,2.7,2.68,2.7,2.22177,210100.0
2015-05-18,2.7,2.7,2.64,2.68,2.205313,102600.0
2015-05-19,2.7,2.7,2.68,2.7,2.22177,79100.0
2015-05-20,2.7,2.72,2.66,2.7,2.22177,293800.0
2015-05-21,2.72,2.72,2.68,2.68,2.205313,272400.0
2015-05-22,2.68,2.7,2.68,2.7,2.22177,56000.0
2015-05-25,2.7,2.72,2.66,2.68,2.205313,58000.0
2015-05-26,2.64,2.68,2.64,2.66,2.188855,37900.0
2015-05-27,2.64,2.7,2.64,2.7,2.22177,138300.0
2015-05-28,2.7,2.7,2.68,2.7,2.22177,20100.0
2015-05-29,2.7,2.72,2.68,2.7,2.22177,70100.0
2015-06-02,2.7,2.72,2.64,2.68,2.205313,264300.0
2015-06-03,2.7,2.7,2.62,2.68,2.205313,69200.0
2015-06-04,2.66,2.7,2.66,2.7,2.22177,68900.0
2015-06-05,2.7,2.7,2.66,2.7,2.22177,181900.0
2015-06-08,2.7,2.7,2.68,2.7,2.22177,73100.0
2015-06-09,2.7,2.7,2.66,2.7,2.22177,264800.0
2015-06-10,2.66,2.7,2.66,2.68,2.205313,230300.0
2015-06-11,2.66,2.76,2.66,2.72,2.238228,309200.0
2015-06-12,2.74,2.74,2.66,2.7,2.22177,169700.0
2015-06-15,2.72,2.72,2.66,2.7,2.22177,153000.0
2015-06-16,2.68,2.7,2.66,2.7,2.22177,94400.0
2015-06-17,2.7,2.7,2.68,2.7,2.22177,164900.0
2015-06-18,2.7,2.7,2.64,2.7,2.22177,867800.0
2015-06-19,2.7,2.7,2.64,2.68,2.205313,232700.0
2015-06-22,2.68,2.68,2.64,2.68,2.205313,197800.0
2015-06-23,2.64,2.68,2.64,2.68,2.205313,144800.0
2015-06-24,2.66,2.68,2.66,2.68,2.205313,87100.0
2015-06-25,2.68,2.68,2.66,2.68,2.205313,44800.0
2015-06-26,2.68,2.68,2.66,2.66,2.188855,506700.0
2015-06-29,2.64,2.66,2.64,2.66,2.188855,9600.0
2015-06-30,2.64,2.7,2.64,2.66,2.188855,167100.0
2015-07-02,2.66,2.66,2.6,2.64,2.172398,567900.0
2015-07-03,2.64,2.64,2.62,2.64,2.172398,98000.0
2015-07-06,2.64,2.66,2.6,2.64,2.172398,85900.0
2015-07-07,2.66,2.66,2.6,2.64,2.172398,68500.0
2015-07-08,2.64,2.64,2.6,2.64,2.172398,256000.0
2015-07-09,2.64,2.64,2.6,2.64,2.172398,169600.0
2015-07-10,2.64,2.64,2.6,2.64,2.172398,85300.0
2015-07-13,2.6,2.64,2.6,2.64,2.172398,59600.0
2015-07-14,2.64,2.74,2.62,2.68,2.205313,2167300.0
2015-07-15,2.7,2.7,2.64,2.7,2.22177,532500.0
2015-07-16,2.7,2.7,2.64,2.68,2.205313,144900.0
2015-07-17,2.62,2.64,2.62,2.64,2.172398,41000.0
2015-07-20,2.64,2.7,2.6,2.64,2.172398,380600.0
2015-07-21,2.64,2.66,2.58,2.64,2.172398,600300.0
2015-07-22,2.58,2.64,2.58,2.62,2.15594,290200.0
2015-07-23,2.64,2.66,2.6,2.66,2.188855,377500.0
2015-07-24,2.66,2.68,2.58,2.6,2.139482,217000.0
2015-07-27,2.62,2.62,2.52,2.58,2.123025,461500.0
2015-07-28,2.58,2.58,2.48,2.58,2.123025,560800.0
2015-07-29,2.56,2.56,2.46,2.52,2.073652,401400.0
2015-07-31,2.52,2.54,2.5,2.54,2.09011,102000.0
2015-08-03,2.52,2.54,2.52,2.54,2.09011,81000.0
2015-08-04,2.54,2.54,2.52,2.52,2.073652,35600.0
2015-08-05,2.52,2.54,2.5,2.54,2.09011,107900.0
2015-08-06,2.52,2.58,2.52,2.56,2.106567,373800.0
2015-08-07,2.54,2.58,2.52,2.56,2.106567,31100.0
2015-08-10,2.52,2.58,2.52,2.56,2.106567,59000.0
2015-08-11,2.56,2.58,2.54,2.56,2.106567,48000.0
2015-08-13,2.56,2.58,2.5,2.54,2.09011,270200.0
2015-08-14,2.6,2.64,2.54,2.6,2.139482,1121100.0
2015-08-17,2.6,2.64,2.56,2.64,2.172398,196300.0
2015-08-18,2.54,2.62,2.54,2.6,2.139482,229200.0
2015-08-19,2.64,2.66,2.58,2.62,2.15594,253200.0
2015-08-20,2.6,2.62,2.6,2.62,2.15594,130400.0
2015-08-21,2.6,2.82,2.56,2.66,2.188855,8530000.0
