Date,Open,High,Low,Close,Adj Close,Volume
2014-10-29,6.15,6.2,6.0,6.1,5.909007,81200.0
2014-10-30,,,,,,
2014-10-31,,,,,,
2014-11-03,,,,,,
2014-11-04,,,,,,
2014-11-05,,,,,,
2014-11-06,,,,,,
2014-11-07,,,,,,
2014-11-10,,,,,,
2014-11-11,,,,,,
2014-11-12,,,,,,
2014-11-13,,,,,,
2014-11-14,,,,,,
2014-11-17,,,,,,
2014-11-18,,,,,,
2014-11-19,,,,,,
2014-11-20,,,,,,
2014-11-21,,,,,,
2014-11-24,,,,,,
2014-11-25,,,,,,
2014-11-26,,,,,,
2014-11-27,,,,,,
2014-11-28,,,,,,
2014-12-01,,,,,,
2014-12-02,,,,,,
2014-12-03,,,,,,
2014-12-04,,,,,,
2014-12-08,,,,,,
2014-12-09,,,,,,
2014-12-11,,,,,,
2014-12-12,,,,,,
2014-12-15,,,,,,
2014-12-16,,,,,,
2014-12-17,,,,,,
2014-12-18,,,,,,
2014-12-19,,,,,,
2014-12-22,,,,,,
2014-12-23,,,,,,
2014-12-24,,,,,,
2014-12-25,,,,,,
2014-12-26,,,,,,
2014-12-29,,,,,,
2014-12-30,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-09,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-16,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-23,,,,,,
2015-01-26,,,,,,
2015-01-27,,,,,,
2015-01-28,,,,,,
2015-01-29,,,,,,
2015-01-30,,,,,,
2015-02-02,,,,,,
2015-02-03,,,,,,
2015-02-04,,,,,,
2015-02-05,,,,,,
2015-02-06,,,,,,
2015-02-09,,,,,,
2015-02-10,,,,,,
2015-02-11,,,,,,
2015-02-12,,,,,,
2015-02-13,,,,,,
2015-02-16,,,,,,
2015-02-17,,,,,,
2015-02-18,,,,,,
2015-02-19,,,,,,
2015-02-20,5.65,5.9,5.65,5.7,5.521531,4923100.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,,,,,,
2015-02-27,,,,,,
2015-03-02,5.45,5.45,5.35,5.35,5.18249,1441800.0
2015-03-03,5.4,5.4,5.3,5.3,5.134056,579900.0
2015-03-05,5.3,5.3,5.2,5.25,5.085621,1200500.0
2015-03-06,5.3,5.3,5.2,5.2,5.037186,1106600.0
2015-03-09,5.2,5.35,5.15,5.25,5.085621,793500.0
2015-03-10,5.3,5.3,5.0,5.15,4.988752,1364800.0
2015-03-11,5.15,5.2,5.05,5.15,4.988752,589100.0
2015-03-12,5.2,5.25,5.1,5.15,4.988752,818900.0
2015-03-13,5.1,5.3,5.1,5.2,5.037186,816600.0
2015-03-16,5.2,5.25,5.05,5.25,5.085621,792000.0
2015-03-17,5.25,5.25,5.15,5.15,4.988752,622700.0
2015-03-18,5.1,5.25,5.1,5.15,4.988752,627000.0
2015-03-19,5.2,5.35,5.2,5.25,5.085621,773300.0
2015-03-20,5.3,5.3,5.15,5.2,5.037186,1048500.0
2015-03-23,5.25,5.25,5.15,5.2,5.037186,698600.0
2015-03-24,5.15,5.2,5.1,5.15,4.988752,857100.0
2015-03-25,5.2,5.2,5.15,5.2,5.037186,375100.0
2015-03-26,5.25,5.25,5.1,5.1,4.940318,249700.0
2015-03-27,5.1,5.15,5.05,5.1,4.940318,504400.0
2015-03-30,5.25,5.25,5.1,5.1,4.940318,136300.0
2015-03-31,5.1,5.15,5.05,5.15,4.988752,144500.0
2015-04-01,5.15,5.2,5.15,5.15,4.988752,400800.0
2015-04-02,5.15,5.55,5.15,5.3,5.134056,4914500.0
2015-04-03,5.35,5.35,5.15,5.2,5.037186,1019400.0
2015-04-07,5.2,5.25,5.1,5.2,5.037186,620700.0
2015-04-08,5.15,5.2,5.05,5.05,4.891883,1572400.0
2015-04-09,5.05,5.25,5.05,5.1,4.940318,3654400.0
2015-04-10,5.1,5.2,5.1,5.1,4.940318,655500.0
2015-04-16,5.1,5.25,5.1,5.15,4.988752,1338300.0
2015-04-17,5.2,5.4,5.2,5.2,5.037186,3239200.0
2015-04-20,5.2,5.3,5.15,5.15,4.988752,750500.0
2015-04-21,5.25,5.4,5.15,5.25,5.085621,3681700.0
2015-04-22,5.3,5.35,5.25,5.25,5.085621,2423700.0
2015-04-23,5.25,5.3,5.15,5.15,4.988752,1357500.0
2015-04-24,5.2,5.25,5.2,5.2,5.037186,999600.0
2015-04-27,5.3,5.3,5.1,5.1,4.940318,1354400.0
2015-04-28,5.15,5.15,5.05,5.05,4.891883,2225700.0
2015-04-29,5.05,5.1,5.0,5.05,4.891883,661800.0
2015-04-30,5.05,5.1,5.0,5.05,4.891883,784000.0
2015-05-04,5.05,5.05,5.05,5.05,4.891883,0.0
2015-05-06,5.05,5.25,5.05,5.15,4.988752,1632600.0
2015-05-07,5.15,5.4,5.0,5.05,4.891883,6538800.0
2015-05-08,5.1,5.15,5.0,5.05,4.891883,1266800.0
2015-05-11,5.1,5.25,5.1,5.1,4.940318,2531300.0
2015-05-12,5.1,5.15,5.0,5.0,4.843448,1712700.0
2015-05-13,5.05,5.2,5.05,5.1,4.940318,758300.0
2015-05-14,5.1,5.1,5.05,5.1,4.940318,360000.0
2015-05-15,5.1,5.15,5.1,5.15,4.988752,364800.0
2015-05-18,5.15,5.2,5.05,5.1,4.940318,1356100.0
2015-05-19,5.15,5.25,5.1,5.15,4.988752,2785200.0
2015-05-20,5.2,5.35,5.15,5.35,5.18249,4323700.0
2015-05-21,5.35,5.35,5.25,5.25,5.085621,1646600.0
2015-05-22,5.3,5.5,5.25,5.4,5.230925,6464900.0
2015-05-25,5.45,5.6,5.35,5.5,5.327793,10197200.0
2015-05-26,5.55,5.6,5.35,5.35,5.18249,6595100.0
2015-05-27,5.3,5.35,5.25,5.3,5.134056,1580800.0
2015-05-28,5.3,5.35,5.1,5.15,4.988752,1927200.0
2015-05-29,5.15,5.25,5.15,5.25,5.085621,691800.0
2015-06-02,5.25,5.25,5.05,5.15,4.988752,1198600.0
2015-06-03,5.1,5.15,5.1,5.1,4.940318,1070000.0
2015-06-04,5.1,5.2,5.1,5.1,4.940318,255000.0
2015-06-05,5.1,5.3,5.1,5.2,5.037186,1810800.0
2015-06-08,5.2,5.45,5.15,5.3,5.134056,4436500.0
2015-06-09,5.3,5.3,5.2,5.2,5.037186,993400.0
2015-06-10,5.25,5.25,5.2,5.2,5.037186,587000.0
2015-06-11,5.25,5.25,5.2,5.2,5.037186,238700.0
2015-06-12,5.2,5.2,5.15,5.15,4.988752,264200.0
2015-06-15,5.15,5.15,5.05,5.1,4.940318,1766500.0
2015-06-16,5.15,5.15,5.05,5.05,4.891883,1255000.0
2015-06-17,5.1,5.1,5.1,5.1,4.940318,406900.0
2015-06-18,5.1,5.15,5.05,5.05,4.891883,372500.0
2015-06-19,5.1,5.1,5.0,5.0,4.843448,2479000.0
2015-06-22,5.0,5.1,5.0,5.1,4.940318,434300.0
2015-06-23,5.1,5.1,5.0,5.05,4.891883,482900.0
2015-06-24,5.05,5.1,5.0,5.05,4.891883,656600.0
2015-06-25,5.05,5.25,5.05,5.1,4.940318,3189200.0
2015-06-26,5.1,5.15,5.05,5.1,4.940318,445900.0
2015-06-29,5.05,5.1,5.0,5.05,4.891883,925800.0
2015-06-30,5.1,5.1,5.05,5.05,4.891883,438400.0
2015-07-02,5.05,5.1,5.0,5.0,4.843448,1128400.0
2015-07-03,5.05,5.05,5.0,5.0,4.843448,846800.0
2015-07-06,5.0,5.0,4.96,4.96,4.804701,1188200.0
2015-07-07,4.96,5.05,4.96,5.0,4.843448,312000.0
2015-07-08,5.0,5.05,5.0,5.0,4.843448,826100.0
2015-07-09,5.0,5.0,4.96,4.98,4.824075,131700.0
2015-07-10,5.0,5.05,4.98,5.0,4.843448,187700.0
2015-07-13,4.98,5.0,4.98,4.98,4.824075,308800.0
2015-07-14,5.05,5.35,5.05,5.25,5.085621,7387900.0
2015-07-15,5.2,5.45,5.15,5.35,5.18249,8085200.0
2015-07-16,5.35,5.6,5.35,5.5,5.327793,27901300.0
2015-07-17,5.5,5.5,5.25,5.4,5.230925,9186900.0
2015-07-20,5.35,5.35,5.15,5.3,5.134056,4058800.0
2015-07-21,5.25,5.35,4.78,4.84,4.688458,24940600.0
2015-07-22,4.84,4.9,4.82,4.86,4.707832,2939300.0
2015-07-23,4.88,4.92,4.76,4.78,4.630337,3230800.0
2015-07-24,4.76,4.8,4.68,4.8,4.649711,1359700.0
2015-07-27,4.78,4.8,4.7,4.74,4.591589,1137700.0
2015-07-28,4.72,4.8,4.64,4.66,4.514094,991300.0
2015-07-29,4.64,4.84,4.6,4.82,4.669085,665900.0
2015-07-31,4.82,4.9,4.8,4.86,4.707832,531500.0
2015-08-03,4.92,4.92,4.84,4.84,4.688458,252900.0
2015-08-04,4.86,4.88,4.8,4.8,4.649711,311100.0
2015-08-05,4.86,4.94,4.84,4.86,4.707832,172400.0
2015-08-06,4.88,4.88,4.84,4.86,4.707832,133200.0
2015-08-07,4.84,4.88,4.84,4.86,4.707832,99000.0
2015-08-10,4.86,4.88,4.8,4.8,4.649711,178800.0
2015-08-11,4.78,4.82,4.78,4.78,4.630337,78500.0
2015-08-13,4.78,4.82,4.68,4.82,4.669085,355500.0
2015-08-14,4.84,4.84,4.8,4.82,4.669085,176400.0
2015-08-17,4.82,4.94,4.82,4.9,4.74658,976200.0
2015-08-18,4.74,4.92,4.68,4.82,4.669085,393400.0
2015-08-19,4.78,4.88,4.78,4.8,4.649711,142500.0
2015-08-20,4.88,4.9,4.82,4.88,4.727206,94100.0
2015-08-21,4.9,4.9,4.82,4.88,4.727206,189500.0
2015-08-24,4.7,4.76,4.56,4.64,4.49472,707600.0
2015-08-25,4.6,4.66,4.3,4.64,4.49472,1122200.0
2015-08-26,4.56,4.62,4.5,4.6,4.455973,182900.0
2015-08-27,4.64,4.66,4.48,4.56,4.417225,391800.0
2015-08-28,4.6,4.7,4.6,4.64,4.49472,464500.0
2015-08-31,4.62,4.72,4.62,4.7,4.552842,182000.0
2015-09-01,4.8,4.86,4.46,4.7,4.552842,337000.0
2015-09-02,4.7,4.78,4.54,4.76,4.610963,46500.0
2015-09-03,4.7,4.84,4.7,4.76,4.610963,222600.0
2015-09-04,4.72,4.8,4.7,4.7,4.552842,127100.0
2015-09-07,4.78,4.78,4.7,4.7,4.552842,50900.0
2015-09-08,4.76,4.78,4.7,4.72,4.572215,139300.0
2015-09-09,4.74,4.9,4.74,4.8,4.649711,698900.0
2015-09-10,4.8,5.25,4.8,4.98,4.824075,14618600.0
2015-09-11,5.0,5.05,4.72,4.8,4.649711,3846500.0
2015-09-14,4.86,4.86,4.78,4.78,4.630337,1089900.0
2015-09-15,4.82,4.88,4.74,4.78,4.630337,608400.0
2015-09-16,4.78,4.86,4.78,4.8,4.649711,232300.0
2015-09-17,4.82,4.86,4.78,4.82,4.669085,213000.0
2015-09-18,4.82,4.84,4.78,4.82,4.669085,332100.0
2015-09-21,4.76,4.84,4.76,4.84,4.688458,129200.0
2015-09-22,4.86,4.98,4.78,4.84,4.688458,1200400.0
2015-09-23,4.82,4.94,4.82,4.9,4.74658,520300.0
2015-09-24,4.92,4.98,4.82,4.92,4.765953,416300.0
2015-09-25,4.98,4.98,4.88,4.92,4.765953,894500.0
2015-09-28,4.94,4.96,4.88,4.88,4.727206,517000.0
2015-09-29,4.84,4.94,4.84,4.92,4.765953,553900.0
2015-09-30,4.96,5.05,4.96,5.0,4.843448,968400.0
2015-10-01,4.98,5.1,4.98,5.05,4.891883,1152900.0
2015-10-02,5.05,5.1,4.98,5.0,4.843448,432100.0
2015-10-05,4.96,5.1,4.96,5.05,4.891883,198900.0
2015-10-06,5.05,5.15,5.0,5.1,4.940318,404400.0
2015-10-07,5.1,5.15,5.05,5.1,4.940318,484400.0
2015-10-08,5.15,5.15,5.0,5.05,4.891883,149500.0
2015-10-09,5.0,5.1,4.96,5.1,4.940318,439300.0
2015-10-12,5.1,5.1,5.0,5.05,4.891883,84000.0
2015-10-13,5.1,5.1,5.05,5.1,4.940318,189300.0
2015-10-14,5.1,5.35,5.05,5.15,4.988752,2189600.0
2015-10-15,5.25,5.3,5.2,5.25,5.085621,970300.0
2015-10-16,5.3,5.3,5.15,5.25,5.085621,376700.0
2015-10-19,5.2,5.3,5.2,5.2,5.037186,72000.0
2015-10-20,5.3,5.3,5.2,5.2,5.037186,423300.0
2015-10-21,5.3,5.3,5.15,5.2,5.037186,215400.0
2015-10-22,5.25,5.5,5.2,5.2,5.037186,2343900.0
2015-10-26,5.2,5.3,5.2,5.25,5.085621,183100.0
2015-10-27,5.3,5.3,5.1,5.25,5.085621,406500.0
2015-10-28,5.3,5.3,5.15,5.15,4.988752,231200.0
2015-10-29,5.15,5.25,5.05,5.05,4.891883,236900.0
2015-10-30,5.05,5.25,5.05,5.15,4.988752,170000.0
2015-11-02,5.25,5.25,5.15,5.2,5.037186,78800.0
2015-11-03,5.1,5.25,5.1,5.15,4.988752,449900.0
2015-11-04,5.15,5.2,5.1,5.1,4.940318,208500.0
2015-11-05,5.15,5.2,5.05,5.1,4.940318,594700.0
2015-11-06,5.1,5.15,5.05,5.15,4.988752,106200.0
2015-11-09,5.15,5.15,5.05,5.05,4.891883,35800.0
2015-11-10,5.05,5.15,5.05,5.1,4.940318,52900.0
2015-11-11,5.15,5.15,5.1,5.15,4.988752,157400.0
2015-11-12,5.15,5.2,5.05,5.15,4.988752,177200.0
2015-11-13,5.05,5.15,5.05,5.05,4.891883,67700.0
2015-11-16,5.2,5.2,5.1,5.1,4.940318,982300.0
2015-11-17,5.1,5.2,5.05,5.1,4.940318,869600.0
2015-11-18,5.15,5.15,5.05,5.15,4.988752,89400.0
2015-11-19,5.15,5.15,5.1,5.15,4.988752,12000.0
2015-11-20,5.1,5.1,5.05,5.1,4.940318,133300.0
2015-11-23,5.1,5.15,5.05,5.05,4.891883,119000.0
2015-11-24,5.05,5.05,5.0,5.0,4.843448,557800.0
2015-11-25,4.98,5.05,4.98,5.0,4.843448,234500.0
2015-11-26,5.05,5.05,4.88,4.98,4.824075,236700.0
2015-11-27,4.96,5.05,4.96,5.0,4.843448,40900.0
2015-11-30,5.0,5.1,4.98,4.98,4.824075,108000.0
2015-12-01,5.05,5.05,4.96,4.98,4.824075,80200.0
2015-12-02,4.96,4.98,4.92,4.98,4.824075,147100.0
2015-12-03,4.96,4.98,4.9,4.96,4.804701,174800.0
2015-12-04,4.94,4.96,4.88,4.96,4.804701,166300.0
2015-12-08,4.94,4.94,4.88,4.94,4.785327,220100.0
2015-12-09,4.96,4.96,4.84,4.94,4.785327,148000.0
2015-12-11,4.94,4.94,4.78,4.78,4.630337,166600.0
2015-12-14,4.76,4.76,4.5,4.76,4.610963,469200.0
2015-12-15,4.86,4.88,4.86,4.88,4.727206,99600.0
2015-12-16,4.88,4.9,4.82,4.9,4.74658,125800.0
2015-12-17,4.92,4.94,4.9,4.94,4.785327,77800.0
2015-12-18,4.92,4.92,4.76,4.9,4.74658,164800.0
2015-12-21,4.88,4.88,4.68,4.86,4.707832,204100.0
2015-12-22,4.74,4.88,4.64,4.78,4.630337,194600.0
2015-12-23,4.7,4.78,4.7,4.78,4.630337,67000.0
2015-12-24,4.82,4.9,4.7,4.8,4.649711,147400.0
2015-12-25,4.8,4.9,4.8,4.84,4.688458,215600.0
2015-12-28,4.92,4.92,4.84,4.86,4.707832,39800.0
2015-12-29,4.8,4.9,4.7,4.9,4.74658,198200.0
2015-12-30,4.82,4.94,4.8,4.94,4.785327,66800.0
2016-01-04,4.88,4.96,4.88,4.92,4.765953,495200.0
2016-01-05,4.9,4.92,4.9,4.92,4.765953,294900.0
2016-01-06,4.98,5.0,4.9,4.94,4.785327,938700.0
2016-01-07,4.9,4.9,4.82,4.82,4.669085,36200.0
2016-01-08,4.74,4.84,4.74,4.84,4.688458,97100.0
2016-01-11,4.86,4.98,4.7,4.74,4.591589,756800.0
2016-01-12,4.72,4.78,4.72,4.74,4.591589,83900.0
2016-01-13,4.78,4.8,4.78,4.8,4.649711,61800.0
2016-01-14,4.76,4.9,4.76,4.88,4.727206,231000.0
2016-01-15,4.88,4.88,4.78,4.88,4.727206,189500.0
2016-01-18,4.88,4.88,4.8,4.88,4.727206,41200.0
2016-01-19,4.78,4.9,4.78,4.9,4.74658,199300.0
2016-01-20,4.9,4.94,4.9,4.92,4.765953,394100.0
2016-01-21,4.96,5.05,4.92,4.92,4.765953,1054800.0
2016-01-22,4.92,4.98,4.92,4.98,4.824075,94000.0
2016-01-25,4.98,4.98,4.9,4.94,4.785327,123000.0
2016-01-26,4.9,5.05,4.9,5.0,4.843448,550000.0
2016-01-27,5.05,5.05,4.98,5.0,4.843448,368000.0
2016-01-28,5.0,5.0,4.98,4.98,4.824075,598000.0
2016-01-29,4.94,5.05,4.94,5.0,4.843448,515800.0
2016-02-01,4.98,5.05,4.98,5.05,4.891883,906100.0
2016-02-02,5.05,5.05,5.0,5.05,4.891883,738000.0
2016-02-03,4.98,5.05,4.98,5.05,4.891883,879000.0
2016-02-04,5.0,5.3,5.0,5.15,4.988752,1800600.0
2016-02-05,5.2,5.3,5.15,5.15,4.988752,1378900.0
