Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,3.80795,3.84711,3.57047,3.57047,-0.67226,6381482.0
2000-01-05,3.333,3.45215,3.23384,3.313,-0.623783,4668573.0
2000-01-06,3.29383,3.29383,3.01636,3.01636,-0.56793,7086709.0
2000-01-07,3.09552,3.11552,2.73972,2.81888,-0.530748,8852022.0
2000-01-10,2.9372,3.01636,2.41309,2.41309,-0.454345,17278812.0
2000-01-11,2.54224,2.62057,2.43309,2.48225,-0.467366,12333239.0
2000-01-12,2.54224,2.58141,2.43309,2.43309,-0.45811,15609325.0
2000-01-13,2.45308,2.68056,2.45308,2.6014,-0.4898,20330304.0
2000-01-14,2.66056,2.71972,2.56141,2.58141,-0.486037,10380763.0
2000-01-17,2.64057,2.69973,2.6014,2.6014,-0.4898,6439876.0
2000-01-18,2.66056,2.83888,2.64057,2.79888,-0.526983,7670655.0
2000-01-19,2.77889,3.03636,2.75972,2.9772,-0.560557,13014509.0
2000-01-20,3.01636,3.19468,2.9772,2.9772,-0.560557,17061704.0
2000-01-21,2.9772,3.03636,2.77889,2.81888,-0.530748,12566817.0
2000-01-24,2.79888,2.81888,2.73972,2.79888,-0.526983,3955860.0
2000-01-25,2.71972,2.81888,2.71972,2.77889,-0.523219,2428616.0
2000-01-26,2.79888,2.81888,2.66056,2.66056,-0.500939,3530628.0
2000-01-27,2.62057,2.73972,2.62057,2.68056,-0.504705,507584.0
2000-01-28,2.69973,2.71972,2.6014,2.66056,-0.500939,1763816.0
2000-01-31,2.62057,2.62057,2.56141,2.56141,-0.482271,1739859.0
2000-02-01,2.6014,2.62057,2.48225,2.48225,-0.467366,1855151.0
2000-02-02,2.50225,2.56141,2.35393,2.35393,-0.443206,4229865.0
2000-02-03,2.39309,2.45308,2.29477,2.31477,-0.435833,2792459.0
2000-02-04,2.33393,2.45308,2.31477,2.37393,-0.446972,3365924.0
2000-02-07,2.37393,2.37393,2.33393,2.33393,-0.43944,1909054.0
2000-02-08,2.33393,2.33393,2.17561,2.19561,-0.413397,4728465.0
2000-02-09,2.17561,2.19561,2.07729,2.07729,-0.391119,11949930.0
2000-02-10,2.07729,2.21561,2.07729,2.09645,-0.394727,11145882.0
2000-02-11,2.15645,2.17561,2.07729,2.09645,-0.394727,5376795.0
2000-02-14,2.13645,2.33393,2.13645,2.33393,-0.43944,13381347.0
2000-02-15,2.37393,2.37393,2.09645,2.11645,-0.398492,11816671.0
2000-02-16,2.15645,2.25477,2.07729,2.21561,-0.417163,13761660.0
2000-02-17,2.33393,2.41309,2.23561,2.23561,-0.420928,18635364.0
2000-02-18,2.29477,2.43309,2.27477,2.43309,-0.45811,7785947.0
2000-02-21,,,,,,
2000-02-22,2.45308,2.45308,2.31477,2.31477,-0.435833,7103179.0
2000-02-23,2.33393,2.39309,2.29477,2.31477,-0.435833,5051881.0
2000-02-24,2.33393,2.35393,2.23561,2.25477,-0.424536,5649303.0
2000-02-25,2.25477,2.29477,2.21561,2.27477,-0.428302,5144714.0
2000-02-28,2.23561,2.23561,2.09645,2.09645,-0.394727,4974022.0
2000-02-29,2.15645,2.15645,2.07729,2.07729,-0.391119,2239957.0
2000-03-01,2.09645,2.11645,1.97813,2.11645,-0.398492,1224789.0
2000-03-02,2.11645,2.29477,2.11645,2.23561,-0.420928,5268989.0
2000-03-03,2.31477,2.31477,2.15645,2.15645,-0.406024,4917125.0
2000-03-06,2.17561,2.17561,2.0173,2.0173,-0.379824,4568254.0
2000-03-07,1.97813,2.09645,1.97813,2.05729,-0.387354,3047000.0
2000-03-08,1.97813,2.17561,1.97813,2.15645,-0.406024,4703011.0
2000-03-09,2.17561,2.21561,2.15645,2.21561,-0.417163,4839266.0
2000-03-10,2.27477,2.29477,2.21561,2.23561,-0.420928,11562130.0
2000-03-13,1.95814,1.95814,1.85981,1.87898,1.034702,4219384.0
2000-03-14,1.89897,1.95814,1.89897,1.93814,1.06728,1462859.0
2000-03-15,1.91897,1.91897,1.83981,1.83981,1.013132,1515265.0
2000-03-16,1.85981,1.87898,1.83981,1.83981,1.013132,1317622.0
2000-03-17,1.89897,2.03729,1.85981,1.91897,1.056723,3627952.0
2000-03-20,1.93814,2.11645,1.89897,2.0173,1.110871,6022130.0
2000-03-21,2.03729,2.09645,1.97813,1.97813,1.089301,3273093.0
2000-03-22,2.05729,2.07729,1.93814,1.95814,1.078293,1352059.0
2000-03-23,1.93814,2.0173,1.91897,1.91897,1.056723,1058589.0
2000-03-24,1.97813,2.09645,1.97813,1.99813,1.100314,5489093.0
2000-03-27,2.03729,2.13645,2.03729,2.03729,1.121879,3620465.0
2000-03-28,2.07729,2.09645,2.05729,2.05729,1.132892,2552892.0
2000-03-29,2.13645,2.13645,1.99813,1.99813,1.100314,3347957.0
2000-03-30,1.97813,1.99813,1.89897,1.93814,1.06728,2283379.0
2000-03-31,1.87898,1.93814,1.87898,1.89897,1.04571,839984.0
2000-04-03,1.91897,1.93814,1.91897,1.91897,1.056723,552502.0
2000-04-04,1.89897,1.89897,1.78065,1.79982,0.991111,2916736.0
2000-04-05,1.76066,1.81982,1.76066,1.79982,0.991111,712714.0
2000-04-06,,,,,,
2000-04-07,1.85981,1.85981,1.83981,1.83981,1.013132,675281.0
2000-04-10,1.81982,1.89897,1.81982,1.85981,1.024145,1385000.0
2000-04-11,1.87898,1.87898,1.79982,1.83981,1.013132,845973.0
2000-04-12,1.87898,1.93814,1.87898,1.91897,1.056723,1387995.0
2000-04-13,,,,,,
2000-04-14,,,,,,
2000-04-17,1.78065,1.85981,1.76066,1.85981,1.024145,4358632.0
2000-04-18,1.85981,1.87898,1.81982,1.81982,1.002124,826508.0
2000-04-19,1.83981,1.87898,1.78065,1.87898,1.034702,748649.0
2000-04-20,1.85981,1.87898,1.85981,1.85981,1.024145,285984.0
2000-04-21,1.85981,1.85981,1.79982,1.81982,1.002124,546514.0
2000-04-24,1.78065,1.81982,1.78065,1.78065,0.980554,1265216.0
2000-04-25,1.81982,1.83981,1.79982,1.83981,1.013132,1814724.0
2000-04-26,1.85981,1.85981,1.81982,1.85981,1.024145,1046610.0
2000-04-27,1.85981,1.87898,1.83981,1.85981,1.024145,1130459.0
2000-04-28,1.85981,1.93814,1.83981,1.89897,1.04571,5328881.0
2000-05-01,,,,,,
2000-05-02,1.89897,2.03729,1.89897,1.99813,1.100314,7687125.0
2000-05-03,1.97813,1.97813,1.93814,1.93814,1.06728,5396260.0
2000-05-04,1.93814,2.03729,1.93814,1.97813,1.089301,2759519.0
2000-05-05,,,,,,
2000-05-08,1.99813,1.99813,1.95814,1.99813,1.100314,6665968.0
2000-05-09,1.93814,1.97813,1.91897,1.97813,1.089301,3698324.0
2000-05-10,1.97813,1.97813,1.91897,1.93814,1.06728,3337475.0
2000-05-11,1.91897,1.91897,1.89897,1.91897,1.056723,3876503.0
2000-05-12,1.91897,1.95814,1.89897,1.95814,1.078293,2117179.0
2000-05-15,1.93814,1.93814,1.85981,1.85981,1.024145,1343076.0
2000-05-16,1.81982,1.85981,1.78065,1.85981,1.024145,847471.0
2000-05-17,,,,,,
2000-05-18,1.81982,1.81982,1.74066,1.76066,0.969546,604908.0
2000-05-19,1.81982,1.91897,1.79982,1.91897,1.056723,2028838.0
2000-05-22,1.89897,1.93814,1.89897,1.91897,1.056723,5764595.0
2000-05-23,1.91897,1.91897,1.85981,1.87898,1.034702,2984114.0
2000-05-24,1.81982,1.81982,1.78065,1.79982,0.991111,860946.0
2000-05-25,1.81982,1.85981,1.74066,1.74066,0.958533,2488508.0
2000-05-26,1.74066,1.78065,1.72066,1.78065,0.980554,1322114.0
2000-05-29,1.76066,1.76066,1.72066,1.72066,0.947519,262027.0
2000-05-30,1.74066,1.74066,1.72066,1.72066,0.947519,254541.0
2000-05-31,1.74066,1.81982,1.74066,1.79982,0.991111,636351.0
2000-06-01,1.81982,1.81982,1.78065,1.81982,1.002124,588438.0
2000-06-02,1.83981,1.91897,1.83981,1.89897,1.04571,1859643.0
2000-06-05,1.91897,1.91897,1.85981,1.85981,1.024145,973243.0
2000-06-06,1.87898,1.87898,1.85981,1.85981,1.024145,116789.0
